,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28W03.wav
2,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W28.wav
887,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28N02.wav
2270,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22W03.wav
2628,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F18A01.wav
188,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22A02.wav
1658,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25S14.wav
2660,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21N08.wav
865,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A23.wav
2926,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N25.wav
932,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30F01.wav
2118,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M14N04.wav
2391,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A60.wav
509,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22A04.wav
547,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03F02.wav
936,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19N25.wav
2565,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N03.wav
2003,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F04A09.wav
2813,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M18N14.wav
1463,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A12.wav
1367,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24S16.wav
391,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43N02.wav
2066,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16A30.wav
2021,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28H01.wav
386,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05S05.wav
2101,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N04.wav
1051,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A13.wav
2268,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S34.wav
432,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M18N12.wav
904,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53N25.wav
1279,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W09.wav
2508,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51S02.wav
1020,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N19.wav
359,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26N08.wav
75,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12A05.wav
2746,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21H02.wav
2447,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09A08.wav
1139,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M09A15.wav
2632,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28N01.wav
1065,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01A08.wav
